"Metabolite","Sample_1_Phenotype2_B","Sample_2_Phenotype3_B","Sample_3_Phenotype2_A","Sample_4_Phenotype1_B","Sample_5_Phenotype2_B","Sample_6_Phenotype2_B","Sample_7_Phenotype1_B","Sample_8_Phenotype2_B","Sample_9_Phenotype2_B","Sample_10_Phenotype3_A","Sample_11_Phenotype3_A","Sample_12_Phenotype2_B","Sample_13_Phenotype1_A","Sample_14_Phenotype3_B","Sample_15_Phenotype2_A","Sample_16_Phenotype2_A","Sample_17_Phenotype1_B","Sample_18_Phenotype1_A","Sample_19_Phenotype1_B","Sample_20_Phenotype3_A","Sample_21_Phenotype3_B","Sample_22_Phenotype1_A","Sample_23_Phenotype2_A","Sample_24_Phenotype3_A","Sample_25_Phenotype1_A","Sample_26_Phenotype2_B","Sample_27_Phenotype1_A","Sample_28_Phenotype2_B","Sample_29_Phenotype1_B","Sample_30_Phenotype2_A","Sample_31_Phenotype1_B","Sample_32_Phenotype1_A","Sample_33_Phenotype3_A","Sample_34_Phenotype3_B","Sample_35_Phenotype2_A","Sample_36_Phenotype3_B","Sample_37_Phenotype1_B","Sample_38_Phenotype2_A","Sample_39_Phenotype2_B","Sample_40_Phenotype3_A","Sample_41_Phenotype1_A","Sample_42_Phenotype3_B","Sample_43_Phenotype1_B","Sample_44_Phenotype2_B","Sample_45_Phenotype1_A","Sample_46_Phenotype1_A","Sample_47_Phenotype3_A","Sample_48_Phenotype2_B","Sample_49_Phenotype3_A","Sample_50_Phenotype3_B"
"Unknown 003",544173.316071081,259512.360320054,471574.72601477,183048.016343327,286770.533475584,692694.305913871,533482.96421519,140333.543682984,487701.424507815,1270857.45152732,295343.216322763,1654778.94909867,810517.3062708,383785.543195945,815855.653056789,1274885.9152647,941175.664179583,718002.07191489,1738060.31397718,923416.84351775,1647619.96176286,221166.190921485,966783.503082162,778617.738166592,122733.246103246,514856.342873429,355896.836216693,448611.900051299,601262.5892621,465160.696499382,507904.707681708,706477.800690632,500511.703088454,622421.046838655,692154.24306968,543604.067222853,1265889.22311243,217192.476344828,350071.177034222,612736.438626991,338545.37390082,345279.748656003,179932.743905601,470224.557155572,273045.575765255,836580.231151314,510059.628473015,560424.06195316,325111.114582667,401518.013256194
"Unknown 004",60461.797958347,61936.524949141,59824.133714654,55963.494702734,233299.186423574,106769.869732274,87066.038715514,67931.909858142,66368.801413426,80098.402369021,66460.960884025,136608,74086.666243641,62636.720454433,64018.157112308,65649.0745164446,139099.347789538,70632.416063062,52281.197130664,74583.161151966,77026.863276059,78718,67863.462028728,73276,83295.29648477,52857.824559389,46366.4959539165,45931.14793368,69411.192356391,72869.35381562,62568.240142668,71741.292426211,57342.014879767,61048.325706079,63336.077284224,51829.445624114,145985.994129494,30540.8863980102,62544.29940357,48960.792398462,72881.667215566,71372.759232393,96481.196335943,63938.704112973,220557.502763513,57034.012122485,64258.483072283,54160.93996574,51564.340854998,56697.277769691
"Unknown 005",26801.417368447,20387.756972395,26246.230077787,22144.9137763254,22011.419300279,20616.236679544,17289.319894242,20270.705567096,20153.656271366,26431.9818356556,22856.112634812,13520.717263277,20718.405966632,21806.361241224,21849.9302599264,34040.312949408,19992.272587155,26343.74494086,19849.121007961,4728.5478718995,8382.3429777,21311.9017696634,22864.114279374,7028.447459138,16473.065628623,26449.703873765,29055.376929932,16436.292721234,15581.5012857621,16096.3081151042,19498.803658467,20103.4804117268,22429.566646449,10053.466718101,16961.934283721,13018.70939008,27997.6292556076,13490.879350228,21799.160920304,11527.62137755,26627.0717472874,25979.199882932,27711.525878459,14053.072171074,25945.353569607,13735.64511777,22349.757849811,18259.01147627,13382.3194471661,16673.268169952
"Unknown 006",200254.70917311,145035.177492081,176001.04346242,191468.61440919,229736.552756207,197988.264099174,172080.463847339,181982.312221554,160779.057193824,203257.137044337,186331.622363,165180.531709202,192297.077496097,143199.18328032,169383.028733256,272883.413783785,149977.865242865,165416.655976385,176881.371264609,134989.810383998,140605.63996672,119105.447997248,143339.30481464,86643.233259108,103810.729073459,163094.538633495,212157.975145419,130993.353992449,165075.08663295,147065.141889918,210614.641811965,158014.890672226,159706.845360832,175326.220624858,191010.087024099,139207.325487106,201591.174303806,129310.998620584,141271.953469438,146677.282367654,176635.949844673,152636.954930338,180084.043852589,121034.342651778,124220.389899733,138723.757194426,112392.697100249,134208.291680822,104357.228561378,119631.816789336
"Unknown 007",98838.576226158,104920.369826967,112918.893772922,81373.000334225,121073.560090302,98678.989505092,87034.61323882,79452.955010526,74137.727949171,167603.522483756,128271.817139851,68516.134110626,92887.501001478,84998.853362887,98151.440012656,187365.968699733,83863.749121399,135735.675378414,131597.656544105,93600.576665648,81360.76583487,66182.685522976,95969.400303163,81271.037548548,121334.352898458,145464.089696745,129389.89701066,79408.108328669,92317.586876736,101694.711366496,84044.865309098,97556.973358377,119869.111117692,127575.563520977,94179.232975397,74089.510589094,174543.069149183,84894.622626451,87417.043106128,81705.034062404,108912.256895626,77276.326494017,123926.691587399,106891.431927626,105940.837996361,126802.628746566,94963.357134133,107627.70153106,104308.166276704,96450.5715394
"Unknown 008",58654.300768562,124069.464835609,203828.68055248,128168.233558762,485955.46405384,134588.990708734,127958.012328392,120809.139247775,114739.096285071,75538.672304298,184919.774465366,142274.568265678,106341.933035166,108101.323839276,137540.5547768,589064.467595415,144831.634456566,255951.168369154,191904.44907855,148294.40523034,96168.1707789,144078.027808461,213605.722099825,100936.452853656,146447.772209053,134292.480929299,16287.670075502,72255.752585679,117652.102536302,110366.242631816,100909.385013601,15560.8879513749,115236.339713798,129412.816742314,65747.439324194,112007.226047514,200605.180153261,89869.538744342,114464.829306682,115423.578567755,133404.855575378,110952.15874898,70037.81583238,137191.019051798,151508.282849486,13704.001682672,128087.959408005,156194.739090381,101679.204381194,118385.405757004
"Unknown 009",580863.563402265,785122.421441195,778171.752186844,468919.500982769,1726883.07907737,704887.346506532,559201.325369674,668182.756068573,425292.311861709,1294799.14527759,1046606.6087063,269383.60817584,709231.645196802,814443.330846222,869295.419690507,915463.387637932,596079.270349025,1136328.89748241,998473.779955781,814089.226697503,333935.705582842,347624.540720564,798568.196462665,528948.128751884,612877.87180107,825391.280472016,1183608.23657492,509015.527811399,469294.168729256,532511.224498726,898788.163190826,914588.183067674,792946.073754822,523101.156630632,641597.919053402,346922.31046227,1008085.08127878,554892.466753164,661332.863135032,385580.929904485,947799.769784294,712419.535899633,839970.434140364,506485.49769273,779877.564552661,803191.574428015,634194.531265714,1133800.0203294,590132.521280782,436317.815591103
"Unknown 010",2717008.23446811,2136831.3726318,2657630.72812975,2496131.58603638,2615384.23959031,2901922.62423859,2617901.27666935,2684225.29046968,2963612.85049681,2871043.3852842,3619562.62039697,3135584.63808603,3072124.12417624,2713633.32861507,2414127.34306363,4341589.71893869,2653551.89748377,2350924.67330059,2300241.97566076,1606346.7439667,1985781.52756713,1877548.84290978,NA,1162125.90836642,1582628.62224885,3002478.60444174,3440144.29192133,2008060.45171321,2632495.38277493,2716051.92830458,3158512.35555161,2583103.3743508,2785090.25164221,2826166.78552547,3469685.74883019,3127613.14994004,4185008.38862593,2159186.23304499,2664290.67164322,2339217.11836589,3546505.1594768,2582803.02698696,3413064.7287357,2055254.5789797,2479500.35088048,2284734.22644949,2399878.73866692,1885288.95101757,1842720.51011439,1694088.45424448
"Unknown 011",42393.73303487,73095.221362875,102993.713705906,60921.08735882,125009.921045521,90185.419783107,79722.98920138,109435.549321051,143573.223910821,52699.00808692,123705.656227095,187710.318031302,75156.866861283,109496.714475891,120195.409453094,158591.544614552,143747.138298722,141474.545104211,157137.403270964,76024.253586822,93881.293892788,119915.976714554,156598.285051646,80282.478222252,112852.823726922,100656.990549475,144747.511765097,63561.013641655,107517.939900034,110742.329622907,79761.527609265,97212.993631065,121517.743231914,137679.7853504,148156.948047593,122034.706365084,172004.95965142,76970.139852182,126127.520805143,115044.949121615,139120.797117233,125941.926432849,191322.282886799,112727.822138348,151187.612700984,137090.715245592,148272.439718072,139994.087458991,107874.00813366,96692.097413694
"Unknown 012",70565.8269315625,64958.0362697291,66892.5286444724,54018.8369825843,49861.4410693244,61281.7246675222,69083.0067989127,47213.3092140084,63488.2939645514,75195.9695563281,69595.8289084266,72894.5352372345,73619.2459691696,64068.8284508474,64808.0118156705,83865.7326428495,67028.6717216418,81241.3652161362,67428.991830621,60784.7376444103,70849.4593947732,45311.0624896904,56859.7193729769,46289.220929781,54068.1649551979,94119.125799226,113444,66794.439425592,74231.094252309,60061.9780699906,73626.715935657,94105.24382475,102846.700166125,100423.177125457,110778.142291017,56057.294432882,143663.106144258,55680.011330991,67549,91496.031053804,98169.320603098,74574,120075.7528992,58671,124959.819768693,88176.769777378,97371.947899374,100586.703936014,76809.386767276,66781.21791116
"Unknown 013",66353.5339017031,31203.8540151008,52550.7719646333,32835.9908660985,54682.890856305,33751,37338,95759.5070636576,39701.047371404,48614.5421250048,83160,21967,36050.3158159283,66060.0347314147,39054.693658323,48247,31953.3952420903,56433,26729,48391,28999,30580,40865,25617,34100.6810966393,44128,53578.446786274,70219.1535682446,36574,21137,112370.986845879,61982.983917861,51042,46998,38887,34320,51299.973412997,64141.6637663946,77986.4429865245,32676,63059.981027673,91941.8837254762,77412,84374.701247322,46134,37356.52387747,57608.310341062,49515,31615.4183351745,47450.5739752816
"Unknown 014",870247.64899269,458682.329818408,802433.001188807,483229.62386827,740278.210305868,389883.237128094,347866.031866906,1279755.50841909,462124.285366466,688550.021490509,437317.169103466,396272.590280417,545694.248727652,879610.064451026,543575.301213942,619599.845088531,497738.726030413,596194.535683949,575036.83874699,393451.132898196,306751.591046443,341564.304531379,392318.225462422,264326.927589854,475001.306428177,592933.873353962,874229.457216889,840939.766403348,464253.37426163,494298.417583199,1410965.94700317,888361.880875175,790029.176855165,542243.115032363,412533.722676995,306712.046566617,624414.783798532,814865.861931021,993862.104308213,464060.822779499,969219.337365628,1166351.92825537,618057.330644446,844130.774837348,472656.468050223,545015.510110604,605210.83524248,548666.156477105,413441.50363328,608927.804100062
"Unknown 015",209693.853337515,413519.4573764,445494.892937728,230671.194410045,227937.33555312,238530.23245176,192717.429550205,444473.03747998,402633.9428163,281338.1487081,497713.815391328,187910.546740072,210377.420210156,221241.112984076,203375.10294882,579881.643579336,453848.651197356,421105.731411474,424101.8196833,444291.238712662,344967.560546152,336811.782643324,479124.9925716,185722.629544554,346704.792659135,610385.883356112,652673.678259692,458125.412490778,523717.374437071,436436.07348964,603472.982085452,591953.12337585,583805.92562402,508615.320594606,521930.106985114,440888.835235601,657466.58068676,384379.3478365,718258.376928595,478620.2140181,587713.34574778,697961.403414726,632556.57435504,506358.909648331,847800.970156986,695543.976653123,473535.546225072,310551.646227411,529137.5922098,429147.62176395
"Unknown 016",968863.106089522,826570.324137979,715126.019214014,838041.842802174,1376500.34065334,972496.102129921,761082.651096554,840136.927342575,1019871.71388472,1135908.4999805,1162226.54433693,816419.025787289,834258.663653623,887458.507514041,868492.320468085,1203398.68576033,954460.108044412,1033752.08815877,1175252.43670212,756220.759834278,700063.925247496,668409.87789913,1069205.94857516,537041.544605109,736420.643396851,720930.92364397,1014339.96666417,585489.426327153,664176.969303549,674172.971674264,636785.035419558,829217.911309874,839881.379179533,577576.364835735,646410.065231882,454879.058317028,923924.903037258,488682.626100952,653666.827508913,484745.674854764,905224.485508059,742945.10748013,881724.304668495,577454.577498665,772647.858730651,649120.348213663,698382.026235588,948095.277782029,598454.603255015,545449.989857632
"Unknown 017",519315.964419269,464336.248386029,383219.770422326,508797.143869113,489287.29445838,612016.385428267,586424.940203316,533920.128406308,529062.236681054,560613.58010587,661402.078629104,624171.914815462,568515.402657259,552901.150478868,532356.995605711,666597.990143495,565465.363227909,584267.537780192,431096.409081712,647560.74508544,585837.858795369,455488.624689632,539832.157997395,669983.165554521,555753.184531714,206704.517762589,265902.637425809,270022.531024911,231061.617714814,345213.085872957,163010.239239429,369991.18943308,414313.626778388,378481.395814695,307626.122471583,368086.031119163,99605.9979556051,232316.474338843,246014.179600717,278977.049829378,241262.55679288,285628.784858053,290811.132200974,303779.15024961,261275.857344652,216550.534962039,243056.113147426,315435.919563225,334277.895999491,364616.264009006
"Unknown 018",673797.171587235,567145.125794788,523551.259030214,535866.368965236,725991.081902294,741271.116852413,661737.050528137,598657.582427859,618205.231661222,795790.349266715,907863.079634388,717377.098069632,592188.259223263,744543.280367395,824366.592387015,1069624.23433422,811286.017213171,1024863.98058576,653270.346885768,870025.26484008,631098.044940849,614070.523435538,835394.811562575,683490.956187933,802682.003435931,826528.429561788,863917.774667268,630423.105095585,851393.479688685,624451.512335237,865023.134724692,730116.033535364,604592.864718848,808853.687399122,812891.883600738,530585.321544094,1090093.93436034,638013.63699713,623412.902456934,755589.091076311,686246.420176574,735449.734355344,748073.579966174,869726.341846637,678212.62392557,600712.36059178,709177.997696802,759418.36834457,619596.732678888,671240.343421702
"Unknown 019",109945,118639,81922.3948342,82897.53534809,138332.8556767,141416.21357252,140200.84657548,91648.78863779,108397.93680466,119810.11170426,115891.97050936,95775,105370.18168407,100784.63519596,182753.16624021,199518.74254659,134890.4890511,126815.74930084,91985.96681957,112487.6307842,84710,71185,100597,97202.47814833,85958.19150129,73303.6537503122,48547.6245495458,58636.3188893349,61519.3689188492,70287.75844405,32002.499931782,92717.3716225183,65541.1146506887,62122.5971414424,108406.287287502,91316.185720683,154632.776609676,27064.7687068575,48188.1498712266,74964.399660371,49738.753607217,47502.8153671268,33935.7859564331,49293.4250878911,35283.8850370375,102959.930981411,64967.9998557975,65382.3835613391,37588.712385775,48232.2012363188
"Unknown 020",557371.159066219,519595.442251601,534622.591560311,919604.22422347,1188591.1590447,1167604.22677603,1184616.91532819,1166391.19235953,1003833.92751512,1732458.43134141,1826492.13602315,1539229.50802076,1391579.88256194,1418088.91178942,1417336.64426659,2277179.68879105,1390287.39920561,1533437.13914366,1432209.50846473,271745.555830269,1268766.86447109,969072.10836207,1454393.43015852,868238.016146759,1138326.66586619,580617.356066471,921469.932440573,787763.98291395,924897.849385982,1056366.82015567,1284931.98759635,1160485.06240858,1186981.78235739,1358990.13329621,1432806.17155045,1346963.16574497,1699246.49263594,1197321.46919458,1213508.09001532,1420303.71954362,1407414.92913392,1292260.16897901,1560169.77233957,1331513.63397163,1215818.10497229,1355667.62873917,1277300.96232836,1535654.31893464,919978.836671018,1185617.47483065
"Unknown 021",129401.258117989,117180.4189409,102386.495692059,93000.547822428,151556.194170976,108882.436603108,78685.93751567,96936.292620127,138408.893042529,172887.211919558,171166.877257886,131082.942829525,151040.00774131,116413.404147782,111099.8071366,170788.95849868,64353.2251599928,138570.242721117,161209.579290707,109566.402349782,135692.313625126,94215.184854153,159347.89494204,66799.804505732,75227.115699639,152580.637550498,133525.117471975,108462.315876218,113853.534148303,93157.514193863,117238.481232107,144421.783651113,156295.273459846,157738.457662392,187331.16971007,145524.946734882,246159.65305607,102400.23078024,107260.09465436,109343.984581795,130609.77543436,146608.115009553,145144.74547809,105441.868051209,162634.06104373,210223.530155562,97669.690387282,162896.423636975,83643.937848651,131984.217086644
"Unknown 022",58534.96097085,97504.95795075,80489.469834978,70416.20948178,85336.811943226,51663.2995274629,66242.73425415,64316.939832664,62575.78392861,80909.42631458,119523.221540152,50962.495446456,55309.314547488,69674.71458721,59721.814695711,69017.764516083,70843.197170976,94706.405183649,118584.7197955,58263.345505108,51398.055591272,74944.5260631452,72551.352416113,32187.9398480098,56174.20707399,69467,78125.252066031,41106.71731541,74549.8225887462,55750.31478063,78625.2864043036,89083.71294909,67529.702609148,65716.0667625627,45658.130771967,34320.8426583233,104753,80450.71445868,58685.193761872,35201.737209539,80724.3129577116,46091.054009449,53793.144892008,49991.10471885,54201.734435172,42227.2212528133,56743.2680875687,52875.932400788,39800.81428761,34896.941482624
"Unknown 023",115254.16540257,69355.4896831094,166619.21895426,164130.43806292,191733.79700851,188252.13531881,190315.28728162,186198.703467742,179111.75868617,219602.65331117,147057.42050294,107293.81837734,113923.72313412,71302.1722757698,88137.9963306692,145198.745044914,120764.69062075,179169.891954686,219416.73425364,131614.88119108,78240.3254509186,121900.18271336,67492,109436.24515599,78094.0015561282,143873.298049896,135561.64395716,71204.801211837,145158.44541648,143171.785044,129062.353400236,191909.00725705,195287.68701774,108499.18214522,168294.37168246,59533.446883966,95483.36904078,48677,139229.45009534,98349.50533467,160602.05663564,67931.322009041,139740.70840214,82796.49422911,146193.43672395,171022.22370819,85772,121442.900110464,55327.3240652949,97761.759973311
"Unknown 024",195414.393349976,403660.73745822,416938.39271832,214125.71545489,293877.69888912,83067.77044631,270243.09535962,430009.90931184,314334.10553812,292705.06215744,196563.135768,168609.2703121,431865.04110303,204640.7596302,228619.5450158,233144.3638,379260.91547786,229667,346833.13908904,172015.258873472,312869.9450457,182666.27431398,499779.44945219,74405.1227035455,217056.03188606,337347.220617254,279076.66096704,322321.27687026,163360.16972668,350027.1008378,238855.02224453,328091.772206008,302338.924269236,321647.74101474,270096.388664344,414748.43921356,290137.066989,454618.19089353,420617.31792194,381694.54247496,268425.501289104,220896.92717527,409801.08695185,167624.56609184,510727.057292326,427091.01207016,343915.77921468,238240.25050937,307330.45541634,183284.29358435
"Unknown 025",403089.236018022,392944.494193224,407044.218026654,396736.741897644,509371.907618018,496079.102616011,384513.782831649,467292.721398632,419778.14751641,541214.578525958,485361.03611384,522670.05926975,432531.409652757,511048.770481216,446198.922699512,622143.543254865,485745.686750385,517411.320881215,495841.900152825,468151.978857019,379070.447815812,416347.190491952,483206.15892836,336400.561150753,397217.025097962,431195.981502252,456757.024691455,338133.831940975,460842.90374415,391832.85775188,436014.852163028,481325.089324674,430407.388696197,525077.804434838,486986.45882899,367654.650630798,551815.744979461,345817.7094204,487644.390654016,419543.938106568,434019.270098467,393382.965766464,509409.126080488,389753.563719249,436961.418637985,403009.441598031,400096.694377827,492365.584930592,347464.840665333,345371.355085248
"Unknown 026",18874.0260056028,132975.12520913,217048.34870012,187875.86172096,386518.26522568,146697.688302073,215970.4814391,166072.19381147,238151.815041934,382404.08025253,305525.97792861,182482.41309987,159682.7240932,237003.35310352,217524.834816,369032.14627778,195065.3169376,320952.55074535,284406.66555429,198387.47121885,140183.29688189,139764.2821688,285201.13516962,126922.47121059,151766.49533585,246104.17614888,256359.99851952,128634.168974406,69897.6130718496,19705.4975993523,235253.30672184,280092.20539733,96069.340511715,129378.251217,188244.5810854,144223.82073737,335127.13688115,126204.99785332,234067.729614889,110307.64479109,278480.4256079,192876.71696754,212945.10383871,154516.59082366,294518.48611861,426649.78127434,179677.40893255,306990.03974117,150157.42598218,225211.685678936
"Unknown 027",529699.44090393,339060.147391774,467806.08372416,378488.218997427,859881.20473821,481478.43295987,257116.688832504,378230.00003848,231225.5278894,712894.83423539,415419.230189804,145752.21216454,457737.051177865,445594.46647885,338291.52924748,307454.529899198,395749.48571478,249174.11290152,411015.135799211,123862.834730528,7330.2894561264,330867.48995857,416780.77962991,122289.80047391,135395.60361624,731540.92565351,617130.72395208,318072.04873061,175284.10309341,306734.59806565,453261.001096278,437802.81538793,416340.051423522,15535.7860630746,248007.32079444,142107.3323634,288152.36425345,4657.6637839644,428846.59273563,88422.02515834,623413.86084293,264815.09943946,646111.297384814,222010.41193308,7867.9518269733,11576.825154486,199468.34995644,629496.43647796,127609.23404445,214608.48978563
"Unknown 028",448981.187368335,668494.41025282,355226.502367638,474968.09165454,635019.602750756,409095.168621826,332028.341670698,306599.722609128,863337.192293828,660331.98253168,434657.227818171,762948.464820363,417479.9232369,709526.14442312,790383.989219324,1098846.58891743,513234.071577136,616840.6079387,816090.200345194,232799.584627501,434283.935073989,316220.727774203,410731.160647436,321942.941698019,293333.891529876,369650.213526404,607831.368792444,421023.530041112,322099.288522772,671400.012375587,312598.369448945,417969.53154362,1079720.77917544,683075.866214796,1051099.40395852,417684.255241036,618673.25989541,278502.082062372,535697.750410066,297590.713101654,606194.336777704,329110.270056366,229225.196631061,549615.040368548,931888.006932147,428143.810256143,273053.220823724,771622.975571046,208347.441668201,481133.04681596
"Unknown 029",242398.483657306,221738.222615634,238257.304881303,221313.749131049,312254.38835967,269319.181166538,221066.552859202,212975.04810456,252637.915853698,289606.08574413,259766.038434912,216900.20117971,316816.460647993,244046.471221813,223625.232844576,336169.867209382,302955.526555414,283558.839453087,329202.482990692,244636.334150721,241743.10843586,225465.482605153,290817.143186694,157145.313943024,234578.929737542,266608.659103326,298011.158875238,207770.443635974,235512.3336264,197052.662700874,227134.55801767,314907.091984888,287315.067849736,253135.429538338,223806.517356877,184411.522292045,356739.007597612,180151.718243216,238293.815730282,201506.993265024,290007.864042656,175648.590748532,316400.722203357,195374.2458878,283510.664510248,237727.818256338,246996.574887944,250510.039135752,220700.396585872,223520.797603911
"Unknown 030",1628804.38233736,1357296.11713761,1463115.36862354,1518693.9066278,1686061.28606131,1296720.18039059,1273000.09884211,1697143.72576774,1262350.74326301,1761212.76021968,1496973.20668957,966824.623663697,1636923.50330325,1578059.98399656,1317360.67927404,1502667.5714453,1476233.52914675,1657042.08358945,1317714.55532477,799641.062976532,1340442.24900084,864670.06789985,1533485.4683274,688921.192671824,1190423.14619966,1030222.27506181,1612324.24486547,934874.965183636,739278.435274637,864605.05694609,1300594.02216597,1507771.27472699,1651664.11008833,1050081.71665185,983582.942083596,822178.348213572,1711824.83182536,651299.14369721,1028723.71771115,903201.88431968,1541754.8086254,1285400.08418966,1608373.18000084,850258.114111756,1196590.91771214,952803.099642694,1237841.20057677,1015606.51745921,1013924.58963392,945239.438119638
"Unknown 031",264596.71666,313277.026316986,257480.120513998,338858.565637101,370346.625889716,328073.737392239,263836.400487506,235255.631661513,278175.715148601,393337.48276884,395613.264215947,215363.602683432,342140.587158452,331062.479976181,299225.380333684,714378.006136222,335399.792276322,589092.068105802,320777.195901354,299662.365571128,368370.613790122,269371.322427245,404623.537312119,199457.986422317,289277.293494706,382646.227291216,554450.546195259,277779.711192255,335796.516258114,245347.599248755,398453.438841545,467115.922351898,416287.036710445,290101.097661141,228673.879891062,215534.580814917,482306.673170234,230523.292925547,327264.60441064,254196.651219297,397013.370088205,308544.24030713,468633.182189652,238528.781117694,366399.91739478,357536.596952527,300969.965204561,417238.600285717,262930.617198735,270334.901014905
"Unknown 032",229724.35233117,170332.644253123,269857.478616639,222498.439145465,359634.691965985,199589.634874175,191156.442103254,171836.26620588,178537.02842059,390267.753821582,286199.40342247,266953.44092643,123938.749715319,188663.053150257,141896.463165619,361242.372351979,141141.450009684,249173.473137145,198804.209295482,73656.27212051,69681.58328705,71819.121830074,132110.76114648,146525.265224785,55803.990245598,193956.927070171,271653.437889058,38410.6427573476,82709.3260572405,86602.336468115,175607.166459488,142770.200035067,150774.906540499,67088.885041592,172249.069517254,37317.861785152,363588.214436852,31073.2913317568,83695.3685793361,64245.6273037986,161413.788646063,96320.7773486,176205.641866601,75196.6836372314,94685.8237649321,115847.310436576,43565.9998848392,133870.570338244,34371.6784893285,30239.226768866
"Unknown 033",226377.520595747,190785.408592173,324751.751635459,191337.77947105,332847.17325935,406198.086560307,220608.344345243,227585.778924798,207883.937804841,403842.376025112,400763.72600936,33942.4612885936,235912.799390998,257841.206144286,355861.007366744,295295.045142644,320399.841718997,147834.086180951,528406.032714647,224874.122426322,83628.573631436,159926.087352863,163832.851182775,109271.859872185,299302.222851676,607390.74274683,555888.021812365,240821.471627338,388904.129031427,269318.470220948,602432.167342989,130503.750260672,310606.724579436,136706.822946904,328848.81791023,164699.725375515,504705.218839881,229675.775138724,368441.341736348,82003.071558145,659450.234337391,246279.989878868,358441.482815824,182232.60023782,474624.94036672,100797.283665979,281925.144447917,309141.176510179,111046.755575021,214903.359136362
"Unknown 034",646495.45174858,931353.425980611,845981.437318241,619586.019636264,965268.490073128,749065.210626288,855657.290015179,887510.0363913,904451.980430232,1366576.94287082,1969673.86368481,544091.546719011,880527.671849183,555515.13195807,2935500.44733325,2811962.01430113,882712.041595909,659619.085454828,938166.764144147,577833.07504147,577714.377672203,424916.531514912,531513.627968032,492105.530707882,1120585.75520537,1015679.01074661,822096.454613623,734619.54423042,1351514.99125398,770401.44521552,912943.208859038,577894.538754171,853688.806674454,3070266.40671484,712866.578146008,599634.66179489,962900.249224584,1517799.25588503,1010822.76915978,499720.927075697,783753.423543128,578730.139443109,1059653.95669903,579853.809323839,1279952.21891639,588026.223083479,525189.651135191,1028404.84551402,1325704.85789278,585253.556998597
"Unknown 035",59626.780878636,86303.322962842,11117.1924314448,739.94728412033,6763.83010104447,452105.9518953,7048.6170039493,47502.158724751,6651.59557851639,9507.18484860229,4823.98740737116,69335.808416853,62205.670010096,64966.78309386,65808.323795199,9292.65874531398,9103.43157071841,130618.151596164,9274.40437382795,126842.126740298,99960.956910464,121577.56899249,79378.963919992,78751.88852142,69743.545280078,10972.2820055338,16392.3350683058,41828.137396576,9126.88198260214,34543.918763995,11323.7559228574,5539.5326408876,42215.969205886,35725.71781074,6428.79871182666,6162.11476909396,7323.50950785144,39394.393735815,8395.03388252272,1699.6108292097,11455.6556368114,74725.86562929,6598.07126969622,45314.117384427,80019.629615546,63896.114029473,95802.03131391,85615.152321368,42142.60646155,52773.850496712
"Unknown 036",50156.5886012655,45845.83968582,145731.987482935,47290.485287072,69950.934154865,231500.201747088,44839.84368275,55890.799452964,55646.001527424,330770.78829147,61295.7981927604,35529.892104711,47611.583280336,52356.0006647,91321.596253736,327723.702565288,55255.27853476,489702.698415519,281481.441696174,152588.93887917,32090.8244243349,257985.588725479,257209.142643703,19520.1455558796,252795.112051928,185044.421455252,181756.2388234,267594.389776755,129419.571362916,101738.138376564,243816.369818093,81460.6328911954,355932.146354108,51814.8211676924,113633.723058835,94937.703663177,497095.194504528,75331.14411812,128983.563204677,56659.4442735899,177857.10363198,121935.291968368,132703.743756518,65206.948649542,336011.371789054,114347,99113.444857472,104054.713157102,71555.0571857424,79439.30411013
"Unknown 037",87169.998472917,148985.489930284,109012.601685827,89312.7343998705,108056.012786465,112295.061300352,87952.037902424,93174.31007338,110481.312927511,86768.926384173,86289.535159698,133841.304064537,68992.528537205,87052.820684779,60370.402494791,138717.149582537,105439.430407506,100379.51630627,118998.617207801,96158.7074931859,96837.0682436632,73341.5653227622,114229.885410508,66017.546999133,75482.041409938,87040.790174623,85049.9099779585,48346.291431708,49789.555489829,57555.450184334,66590.3225479908,79640.521498956,71428.400502865,41885.29475135,47950.662841953,49785.160634155,114048.982973923,49083.871002052,71177.6123848014,41448.810573722,78785.92010189,52913.554393946,87032.3718780406,29457.921544092,47230.6415357736,74553.569129334,73999.456498528,70505.070361337,56577.266422153,48621.873641272
"Unknown 038",47405,252466.776127344,34263,213698.162588223,102533.399689826,251651.78804634,464966.153340178,291606.723740592,25479,17952,276389.563367792,485050.597220318,297433.833748794,318132.279720884,49133.6928217631,845104.675140401,29568,282192.531695956,173604,107253.828091185,793980.913758885,59990.535839782,45634.926681441,682569.999334171,768407.698777159,657062.331387947,45668,516985.554546516,1186339.46069366,639909.423514228,71096.390750508,1068505.40525292,392806.435064194,1242362.30261315,1200392.06124971,836496.986135949,1609084.55465247,406558.123880636,65069.6129500534,725570.056525672,42703.417038136,77255.216035307,25449.9088991436,317484.470710128,548900.811230116,876251.29755717,417568.091819953,428868.047110058,403835.68174168,431236.403288695
